FID,OBJECTID,SLUM_CODE,SLUM_NAME,SRNO,CA,WARD_2017,PRABHAG_20,VILLEGE,LANDMARK,Road_Abutt,DECLARATIO,DECLARE_DT,DECLARE_AR,APPROX_HH,AREA_SQM,SNO_CTSNO_,OWNERSHIP,TENEBILITY,LANDUSE,POPULATION,SRA_STATUS,RAY_CODE_N,GIS_ID,SLUM_RATIN,Shape_Leng,Shape_Area,SCHEME_COV,DENSITY
125,140,1203073504,PATIL VITBHATTI DHANKAWADI,229,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,DHANAKWADI,DHANAKWADI,24M DP ROAD,DECLARED,MGG 07/01/1993 Pg 30,1041 SQM,78,2283.60206,S.NO.11/2,PMC,TENABLE,EWS ZONE,468,NO,1305,DHAN6901,95,220.2448428,2283.60206, ,342
126,141,1205132914,S.NO.85 86 AMBEDKAR VASAHAT,408,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,AMBEDKAR VASAHAT,24M DP ROAD,NOT DECLARED, , ,185,6652.362338,"FP.NO.509, NALA",PRIVATE + PMC,UNTENABLE,RESERVATION EWS-33 MODIFIED (M-2.34) INCLUDED IN GREEN BELT,1110,PRAPOSAL SUBMITTED BY PANKAJ SHAHA,1019,SAHA5701,74,509.3700714,6652.362338, ,278
127,142,1205132903,CTS.NO.248 SINHAGAD ROAD BEHIND SAMADHAN BHEL,397,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,SAMADHAN BHEL,45M DP ROAD,DECLARED,MGG 24/03/1988 Pg 421,632.10 SQM,82,3021.574066,"FP.NO.30, TPS ROAD",PRIVATE + PMC,UNTENABLE,PARK ZONE + 45M DP ROAD,492,NO,1001,SAHA5702,62,217.7202155,3021.574066, ,271
128,143,1201032103,BALAJI NAGAR GHORAPADI,87,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,BALAJI NAGAR GHORAPADI,15M DP ROAD,DECLARED,MGG 23/07/1992 Pg 1441,72500 SQM,535,17221.68749,"S.NO.71, 70A",STATE GOVT,TENABLE,EWS ZONE,3210,NO,1504,KOND4102,89,680.4477827,17221.68749, ,311
129,144,1202040814,GANDHI NAGAR HARRIS BRIDGE BOPODI,132,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,HARRIS BRIDGE,42M AND 30M DP ROAD,DECLARED,MGG 31/10/1984 Pg 3,8400 SQM,338,7932.920767,"S.NO.7/1, 7/2",PRIVATE + PMC,REMOVED,M-4.15 RESERVATION G-25,2028,SLUM SEEMS TO BE REMOVED,0115,AUND0609,0,462.7120267,7932.920767, ,426
130,145,1202040816,GOPI CHAWL BOPODI,134,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,OLD MUMBAI PUNE ROAD,42M MUMBAI PUNE DP ROAD,NOT DECLARED, , ,76,5111.737555,S.NO.17B,PRIVATE,TENABLE,EWS ZONE,456,NO,0117,AUND0611,84,316.4743877,5111.737555, ,149
131,146,1202061105,KISHKINDA NAGAR DATTA NAGAR KOTHRUD,210,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,KOTHRUD,TULJA BHAVANI TEMPLE,INTERNAL LAYOUT ROAD,NOT DECLARED, , ,972,27865.36897,"S.NO.113, 120, 121",PRIVATE + PMC,UNTENABLE,HILL ZONE,5832,NO,0309,KOTH2703,45,947.1793434,27865.36897, ,349
132,147,1202040827,SANJAY GANDHI NAGAR SPICERR COLLAGE AUNDH,145,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,AUNDH,SPICER COLLEGE,18M DP ROAD,DECLARED,MGG 10/11/1983 Pg 3006,3639.5 SQM,115,3095.03493,S.NO.12,PRIVATE + PMC,TENABLE,EWS ZONE,690,NO,0132,AUND0706,83,305.6893899,3095.03493, ,372
133,148,1201032104,BHIM NAGAR SHIRKE VASTI,88,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,HADAPSAR,BFC ROAD,24M DP ROAD,DECLARED,MGG 05/07/1984 Pg 2136,1195 SQM,1114,30117.04051,S.NO.124,PRIVATE,TENABLE,EWS ZONE,6684,PRAPOSAL SUBMITTED BY VIJAY B SHIRKE,1506,KOND4103,79,1448.829973,30117.04051,WHOLE SLUM,370
134,149,1201020205,DHANORI EKATA NAGAR YERAWADA,25,CA-3,02 YERWADA KALAS DHANORI,02 PHULE NAGAR NAGPUR CHAWL,DHANORI,AIRPORT ROAD,30M DP ROAD,DECLARED,MGG 22/09/1994 Pg 2064,7301 SQM,315,7987.386697,S.NO.40,PRIVATE,UNTENABLE,RESERVATION PG-58,1890,NO,0610,SANG0502,56,354.4966889,7987.386697, ,394
135,150,1201020213,RAJIV GANDHI NAGAR YERAWADA,33,CA-3,02 YERWADA KALAS DHANORI,02 PHULE NAGAR NAGPUR CHAWL,YERAWADA,NEAR MENTAL HOSPITAL QUARTERS,45M DP ROAD,NOT DECLARED, , ,325,9734.172537,S.NO.115,STATE GOVT,TENABLE,RESERVATION PS&PG-63 EWS ZONE,1950,NO,0623,SANG1606,80,440.562725,9734.172537, ,334
136,151,1204102217,SHANTI NAGAR HADAPSAR,325,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,HADAPSAR,SHANTI NAGAR HADAPSAR,INTERNAL ROAD,NOT DECLARED, , ,75,4815.44095,S.NO.13,STATE GOVT,TENABLE,RESIDENTIAL ZONE,450,NO,1223,HADA4308,84,375.4296788,4815.44095, ,156
137,152,1204102219,VISHAL NAGAR HADAPSAR,327,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,HADAPSAR,VISHAL NAGAR HADAPSAR,INTERNAL ROAD,NOT DECLARED, , ,89,2349.564999,S.NO.13,PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL ZONE,534,NO,1230,HADA4309,73,219.40854,2349.564999, ,379
138,159,1202040904,VITTHAL NAGAR PASHAN,150,CA-2,04 AUNDH BANER,09 BANER BALEADI PASHAN,PASHAN,ARDE PASHAN,24M DP ROAD,DECLARED,MGG 25/01/1989,980 SQM,157,4898.180602,S.NO.146,PRIVATE + CENTRAL GOVT,TENABLE,EWS ZONE + DEFENCE ZONE,942,NO,0134,AUND1002,77,293.2463048,4898.180602, ,321
139,160,1202040809,CHANDRAMANI NAGAR AUNDH ROAD BOPODI,127,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,30M JAYKAR PATH (SPICER COLLEGE ROAD),30M JAYKAR PATH (SPICER COLLEGE ROAD),DECLARED,"MGG 10/08/1978 PG 1758, 59, 60",38609 SQM,145,6171.062861,"S.NO.38, 39",PRIVATE,TENABLE,EWS ZONE,870,NO,0110,AUND0703,81,332.3955569,6171.062861, ,235
140,161,1202050701,7 MULA ROAD,152,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SANGAMWADI TPS,MULA ROAD,30M MULA ROAD,DECLARED,MGG 16/08/1973 Pg 1719,21994 SQM,775,27711.0535,"SNO.49/1, FP.NO.9",PRIVATE,TENABLE,EWS ZONE,4650,PRAPOSAL SUBMITTED BY ISHWAR CONSTRUCTION,0202,GHOL1305,78,1081.485861,27711.0535, ,280
141,162,1202050716,PATIL ESTATE SHIVAJI NAGAR,167,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SANGAMWADI TPS,SHOPPERS STOP WAKADEWADI,42M MUMBAI PUNE ROAD,DECLARED,MGG 08/12/1993 Pg 2036,17241.71 SQM,1176,21407.52082,"FP.NO.66, 65",PRIVATE + PMC,TENABLE,RESERVATION SW-6 AND PSP ZONE,7056,PRAPOSAL SUBMITTED BY POLESTAR DEVELOPERS,0231,GHOL1307,86,606.9123193,21407.52082, ,549
142,163,1202050713,KHAIREWADI SHIVAJI NAGAR,164,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,BHAMBHURDA,GANESH KHIND ROAD 45 M DP ROAD,NO ACCESS ROAD,DECLARED,MGG 24/03/1988 Pg 421,2968.43 SQM,476,16349.01994,"S.NO.211, 215, NALA",PRIVATE,TENABLE,EWS ZONE NALA,2856,NO,0222,GHOL1203,80,651.708169,16349.01994, ,291
143,164,1202050717,PATKAR PLOT MAHATMA GANDHI NAGAR,168,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SANGAMWADI TPS,SHOPPERS STOP WAKDEWADI,OLD MUMBAI PUNE HIGHWAY,DECLARED,MGG 18/09/1980 Pg  2893,5812.29 SQM,425,7094.383552,"FP.NO.66, 67",PRIVATE + PMC + RAILWAY,UNTENABLE,PARKING RESERVATION AS PER PROPOSED MODIFICATION,2550,NO,0232,GHOL1308,74,445.7580974,7094.383552, ,599
144,165,1202050721,SHIVAJI NAGAR RAILWAY STATION,172,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SUBURBAN TPS,SHIVAJI NAGAR RAILWAY STATION,RAILWAY STATION ROAD,NOT DECLARED, , ,397,9645.995141,FP.NO.29,PRIVATE,UNTENABLE,RESERVATION PARKING P-60,2382,NO,0245,GHOL1312,51,395.7699403,9645.995141, ,412
145,166,1202050725,WILLYAM NAGAR SHIVAJI NAGAR,176,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SANGAMWADI TPS,SHOPERS STOP WAKADEWADI,42M MUMBAI PUNE ROAD,DECLARED,MGG 08/12/1981 Pg 3598, ,36,1224.269478,FP.NO.56,PRIVATE,TENABLE,EWS ZONE,216,NO,0252,GHOL1314,86,143.6217583,1224.269478, ,294
146,167,1203083006,DANDEKAR BRIDGE 130,255,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,DANDEKAR BRIDGE / SINHAGAD ROAD,45M SINHAGAD ROAD,DECLARED,MGG 10/11/1983 Pg 3005,33881.29 SQM,1644,37403.83669,"FP.NO.583, 584",PRIVATE,UNTENABLE,RESERVATION PMPML-4,9864,NO,0808,TILK5203,54,840.1232433,37403.83669, ,440
147,168,1203083022,RAJIV GANDHI NAGAR,271,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,45M SINHAGAD ROAD,DECLARED,"MGG 08/12/1983 Pg 3312, 3313",26853.07 SQM,495,4103.395033,"FP.NO.528, Canal, TPSROAD",PRIVATE,TENABLE,RESERVATION PS-28 & CPG 34 RESIDENCIAL,2970,NO,0831,TILK5609,70,295.3266362,4103.395033, ,1206
148,169,1203083023,RAJIV GANDHI NAGAR 116 PARVATI PAAYTHA,272,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,SINHAGAD ROAD,45M SINHAGAD ROAD,DECLARED,"MGG 08/12/1983 Pg 3312, 3313",26853.07 SQM,515,4133.759243,"FP.NO.528, Canal",PRIVATE,TENABLE,RESERVATION CPG DP ROAD,3090,NO,0832,TILK5610,69,270.861151,4133.759243, ,1246
149,170,1205132904,DANDEKAR BRIDGE 133,398,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,DANDEKAR BRIDGE,45M DP ROAD,DECLARED,MGG 22/12/1983 Pg 3431,16389.76 SQM,499,14869.98217,"FP.NO.587, 585",PRIVATE,UNTENABLE,RESERVATION PMPML-4,2994,NO,1103,KASB5103,59,544.3786053,14869.98217, ,336
150,91,1202061107,MORE SRAMIK VASAHAT KOTHRUD,212,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,ERANDWANA,BHARTI VIDYAPEETH,INTERNAL LAYOUT ROAD,NOT DECLARED, , ,508,12068.1819,"S.NO.48, 44",PRIVATE,TENABLE,EWS ZONE,3048,NO,0312,KOTH2605,69,465.34398,12068.1819, ,421
151,92,1203091310,PANDIT JAWAHARLAL NEHARU ERANDAWANA,293,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,ERANDWANA,NAL STOP SNDT COLLEGE,MUTHA BANK CANAL ROAD,NOT DECLARED, , ,121,3284.627932,CANAL ROAD,STATE GOVT,UNTENABLE,CANAL EMBANKMENT,726,NO,0409,WARJ3503,63,360.5811219,3284.627932, ,368
152,93,1203091312,SANJAY GANDHI VASAHAT ALANKAR POLICE CHOWKY,295,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,HINGNE BU,ALANKAR POLICE CHOWKY,20M DP ROAD,DECLARED,MGG 12/06/1986 Pg 1697,1760 SQM,111,4788.588659,"S.NO.32, NALA",PRIVATE,TENABLE,EWS ZONE,666,PRAPOSAL PENDING,0410,WARJ3504,80,466.9156209,4788.588659, ,232
153,94,1203091309,NEW SHIVANE,292,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,KOTHRUD,KARVE ROAD SHIVNE,42M DP ROAD,NOT DECLARED, , ,479,18576.24657,S.NO.160,PRIVATE,UNTENABLE,RESERVATION FIRE BRIGADE AND 20M DP ROAD,2874,NO,0408,WARJ3203,44,592.4094117,18576.24657, ,258
154,95,1202061102,JAI BHAVANI NAGAR KOTHRUD,207,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,KOTHRUD,PAUD ROAD,42M DP ROAD,DECLARED,MGG 01/06/1989 Pg 1049,32710.73 SQM,1665,37911.6475,S.NO.120,PRIVATE,TENABLE,EWS ZONE,9990,NO,0306,KOTH2701,79,1133.51605,37911.6475, ,439
155,96,1202061210,SUTAR DAVAKHANA KOTHRUD,225,CA-2,06 KOTHRUD BAVDHAN,12 MAYUR COLONY DAHANUKAR COLONY,KOTHRUD,DP ROAD KOTHRUD,30M DP ROAD,NOT DECLARED, , ,44,3442.368636,S.NO.87,PRIVATE,UNTENABLE,RESERVATION HOSPITAL H-9 DP ROAD,264,NO,0323,KOTH2810,76,316.5120043,3442.368636, ,128
156,97,1203091316,TILEKAR PLOT ERANDAWANA,299,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,ERANDWANA,H A COLONY KOTHRUD,CANAL ROAD,DECLARED,MGG 27/04/2000 Pg 682,764.5 SQM,29,1808.065681,S.NO.41,PRIVATE,TENABLE,RESIDENTIAL ZONE,174,PRAPOSAL SUBMITTED BY SHRI ASSOCIATES,0416,WARJ3507,86,185.6217577,1808.065681, ,160
157,125,1201020606,JAYJAWAN NAGAR YERAWADA,41,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR AMBEDKAR COLLEGE YERAWADA,24M DP ROAD,NOT DECLARED, , ,1055,69855.33681,S.NO.13,TRUST,TENABLE,EWS ZONE,6330,NO,0613,SANG1401,68,1430.411649,69855.33681, ,151
158,126,1201020207,JADHAV NAGAR YERAWADA,27,CA-3,02 YERWADA KALAS DHANORI,02 PHULE NAGAR NAGPUR CHAWL,YERAWADA,NEAR MENTAL HOSPITAL YERAWADA,INTERNAL ROAD,DECLARED,MGG 03/12/1987 Pg 2872,6327 SQM,264,8949.39768,"S.NO.150, 153A",PRIVATE,TENABLE,EWS ZONE + OPEN SPACE,1584,NO,0707,NAGA0403,75,427.8888575,8949.39768, ,295
159,127,1203073511,S.NO.76TO81 MOGHAL VASAHAT (POORGRAST) PARVATI,236,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,MOGAL VASTI,15M DP ROAD,DECLARED,MGG 23/09/1994 Pg 2064,736 SQM,38,910.7242959,S.NO.76,PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL ZONE,228,NO,1013,SAHA6705,88,119.9360642,910.7242959, ,417
160,128,1201020106,S.NO.112B VISHRANTWADI,19,CA-3,02 YERWADA KALAS DHANORI,01 KALAS DHANORI,KALAS,PUNE ALANDI ROAD,45M DP ROAD,DECLARED,MGG 22/12/1983 Pg 3432,930 SQM,687,21022.73213,S.NO.112/B,PRIVATE,TENABLE,EWS ZONE,4122,PRAPOSAL SUBMITTED BY AJMERA BORA,0628,SANG0507,73,628.4779507,21022.73213, ,327
161,129,1205132912,S.NO.32 33 SONIYA GANDHI NAGAR SWARGATE,406,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,SWARGATE,INTERNAL ROAD,NOT DECLARED, , ,64,3236.423527,CANAL,STATE GOVT,UNTENABLE,CANAL EMBANKMENT HCMTR,384,NO,1002,SAHA5706,65,314.2071665,3236.423527, ,198
162,130,1203093203,WARJE RAM NAGAR LAMAN VASTI,307,CA-2,09 WARJE KARVE NAGAR,32 WARJE MALWADI,WARJE,WARJE RAM NAGAR,NO ACCESS ROAD,NOT DECLARED, , ,1048,38941.16455,"S.NO.35, 36",FOREST,UNTENABLE,FOREST ZONE,6288,NO,0420,WARJ3103,50,984.632052,38941.16455, ,269
163,131,1202040805,BHARAT NAGAR BOPODI RAILWAY GATE NO.20,123,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,KIRLOSKAR GATE NO 20 RAILWAY LINE,30M DP ROAD,NOT DECLARED, , ,147,8221.857537,"S.NO.80, 17A&16A1",PRIVATE + RAILWAY,UNTENABLE,RAILWAY TRACK,882,NO,0105,AUND0604,46,943.6103465,8221.857537, ,179
164,153,1204102202,DAVARI VASTI,310,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,HADAPSAR,SOLAPUR ROAD,CANAL ROAD,NOT DECLARED, , ,54,1566.291044,S.NO.13,PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL ZONE,324,PRAPOSAL SUBMITTED BY VARAD DEVELOPERS,1203,HADA4302,75,158.2239088,1566.291044, ,345
165,154,1201032118,MADARI VASTI GHORAPADI,102,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,SANGAMWADI TPS,KOREGAON PARK,INTERNAL ROAD LANE NO 7 OF SAMGAMWADI TPS,DECLARED,MGG 16/08/1973 Pg 1739,2327 SQM,191,14083.49759,"FP.NO.406, 416 TO 419 (S.NO.17B CTS NO.243 TO 272)",PRIVATE,TENABLE,EWS ZONE,1146,NO,0538,DHOL2108,81,484.7831505,14083.49759, ,136
166,155,1202040813,GAIKWAD VASTI AUNDH,131,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,AUNDH,DP ROAD AUNDH,20M DP ROAD,DECLARED,MGG 18/11/1990 Pg, ,107,1295.96008,S.NO.156,PRIVATE,TENABLE,EWS ZONE,0,PRAPOSAL SUBMITTED BY LIFE PROPERTIES,0114,AUND0901,92,186.6071218,1295.96008, ,826
167,156,1202050704,INDIRA VASAHAT AUNDH,155,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,AUNDH,BEHIND CENTRAL SCHOOL GANESH KHIND ROAD,15M DP ROAD,DECLARED,MGG 23/03/1994 Pg 584,16310 SQM,751,20676.0991,"S.NO.79, 80",PRIVATE + PMC + DEFENCE,TENABLE,EWS ZONE DP ROAD,4506,NO,0121,AUND0704,78,724.4111399,20676.0991, ,363
168,157,1202050712,KASTURBA VASAHAT AUNDH,163,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,AUNDH,CENTRAL SCHOOL AUNDH,45M GANESH KHIND ROAD,DECLARED,MGG 31/10/1984 Pg 4,6132 SQM,544,21451.28974,"S.NO.25/1, 56, 57, 59",PRIVATE + STATE GOVT + DEFENCE,TENABLE,EWS ZONE + 15M DP ROAD,3264,NO,0123,AUND0705,78,633.2078707,21451.28974, ,254
169,158,1202040903,SANJAY GANDHI NAGAR PASHAN,149,CA-2,04 AUNDH BANER,09 BANER BALEADI PASHAN,PASHAN,METROLOGY COLONY,18M DP ROAD,DECLARED,MGG 09/02/1995 Pg,20900 SQM,290,12428.34949,"S.NO.2, 3, 4",PRIVATE + CENTRAL GOVT (ARDE),TENABLE,EWS ZONE SERVICES,1740,NO,0131,AUND0803,69,686.5420281,12428.34949, ,233
170,247,1205141929,LOHIYA NAGAR 54 A/P,468,CA-1,14 BHAVANI PETH,19 LOHIYA NAGAR KASEWADI,TPS-III,LOHIYA NAGAR BHAVANI PETH,15M 24M DP ROAD,DECLARED,MGG 21/06/1984 Pg 1949,61200 SQM,175,11535.12418,"FP.NO.164, 164A, 153A, 154A, 165, 166, 169+170+171, TPS Road",PRIVATE + PMC,UNTENABLE,GREEN BELT PSP EWS ZONE DP ROAD,1050,NO,0947,BHAV6510,53,1040.764042,11535.12418, ,152
171,248,1205141803,357 353 GHORAPADE PETH NEAR CHAND TARA CHOWK,427,CA-1,14 BHAVANI PETH,18 KHADAKMAL ALI M PHULE PETH,TPS-III,SWARGATE,15 M DP ROAD,NOT DECLARED, , ,45,5641.156219,"FP.NO.127A, 127B",PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,270,NO,0905,BHAV6508,75,411.6519686,5641.156219, ,80
172,249,1202040902,LAMAN TANDA PASHAN,148,CA-2,04 AUNDH BANER,09 BANER BALEADI PASHAN,PASHAN,PASHAN GAOTHAN,18M DP ROAD,DECLARED,MGG 09/02/1995 Pg 1,20900 SQM,391,10614.26476,"S.NO.3, 4",CENTRAL GOVT,TENABLE,EWS ZONE,2346,NO,0124,AUND0802,84,433.1171333,10614.26476, ,368
173,250,1202040801,ADARSH NAGAR BOPODI,119,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,ADARSH NAGAR BOPODI,INTERNAL ROAD,NOT DECLARED, , ,220,6031.946681,S.NO.2A,PRIVATE,TENABLE,EWS ZONE,1320,PROPOSAL SUBMITTED BY GOYAL GANGA PRAMOTERS,0101,AUND0601,60,337.8945535,6031.946681, ,365
174,251,1202040819,INDIRA NAGAR INCLUDS IN BOPODI GATE NO.20 DABAR CHAWL,137,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,OPPOSITE GATE NO.20,NO ACCESS ROAD,DECLARED,MGG 23/08/1979 Pg 2859,4734.2 SQM,64,6359.669248,"S.NO.16A1, 17A",PRIVATE,TENABLE,EWS ZONE,384,PRAPOSAL SUBMITTED BY MANAV PRAMOTERS,0120,AUND0614,82,340.3929113,6359.669248, ,101
175,252,1201032007,GADI ADDA1009 NANA PETH,68,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,NANA PETH,NISHANT TALKIES NANA PETH,DP ROAD,DECLARED,MGG 27/04/2000 Pg 4,3121.3 SQM,133,4634.272419,"CTS.NO.1009, 1010",STATE GOVT,TENABLE,RESERVATION SI-1,798,PRAPOSAL SUBMITTED BY LUCKY LANDMARK PVT LTD,0924,BHAV4703,88,288.3608402,4634.272419, ,287
176,397,1202040825,SALVE NAGAR BOPODI,143,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,BOPODI GAOTHAN,INTERNAL ACCESS ROAD,NOT DECLARED, , ,149,4790.742319,S.NO.24B,PRIVATE,TENABLE,EWS ZONE,894,NO,0129,AUND0620,59,351.8359983,4790.742319, ,311
177,398,1202040826,SAMRAT NAGAR BOPODI,144,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,BOPODI GAOTHAN,INTRENAL ROAD,DECLARED,MGG 26/02/1976 Pg 760,SQM,204,8291.642646,S.NO.24B,PRIVATE + DEFENCE,TENABLE,EWS ZONE,1224,NO,0130,AUND0621,75,575.1044323,8291.642646, ,246
178,399,1205141912,HARAKA NAGAR,451,CA-1,14 BHAVANI PETH,19 LOHIYA NAGAR KASEWADI,TPS-III,HARAKA NAGAR,12M 15M DP ROAD,DECLARED,MGG 08/12/1983 Pg 3314,2936 SQM,455,12363.71502,"CTS.NO.404 TO 407, 433 TO 436, 464 TO 482, 505 TO 528 FP.NO.366, 367",PRIVATE + PMC,TENABLE,EWS ZONE RESIDENTIAL ZONE,2730,PRAPOSAL SUBMITTED BY PUSHPAGANGA DEVELOPERS,0930,BHAV4704,80,550.7905484,12363.71502, ,368
179,400,1205131606,BHIM NAGAR KACHI MALA MANGALWAR PETH,381,CA-3,13 KASBA VISHRAMBAG,16 KASBA PETH SOMVAR PETH,TPS-I,MANGALWAR PETH,INTERNAL PETH ROAD,NOT DECLARED, , ,571,6911.050108,"CTS.NO.330 TO 341, 347 TO 350, F.P.907(part), nala",PRIVATE,TENABLE,RESIDENTIAL ZONE,3426,NO,0510,DHOL2302,75,450.5984557,6911.050108, ,826
180,401,1201032001,422 SOMWAR PETH,62,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SOMWAR  PETH,SARDAR MUDLIYAR ROAD,24M DP ROAD,DECLARED,MGG 31/10/1984 Pg 4,210 SQM,75,806.0310303,CTS.NO.422,PRIVATE,TENABLE,RESIDENTIAL ZONE,450,NO,0504,DHOL4001,86,160.1078034,806.0310303, ,930
181,402,1205152802,DHOLE MALA GULTEKADI,478,CA-1,15 BIBVEWADI,28 SALISBURY PARK MAHARSHI NAGAR,TPS-III,JAWAHARLAL NEHRU MARG GULTEKDI,INTERNAL ROAD,DECLARED,MGG 09/04/1987 Pg 718,14686 SQM,345,6243.671744,"FP.NO.430A-2, 430, Gaothan",PRIVATE + PMC,TENABLE,EWS ZONE,2070,PRAPOSAL SUBMITTED BY MINAMANI ENTERPRISES,1405,BIBE6402,75,344.259188,6243.671744, ,553
182,470,1203091301,ANUSAYA KHILARE CHAWAL PLOTNO-11 ERANDWANA,284,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,TPS-I,SHARDA CENTRE,24M DP ROAD,NOT DECLARED, , ,12,437.8922279,FP.NO.10,PRIVATE,TENABLE,RESIDENTIAL ZONE,72,NO,0203,GHOL3605,80,83.91227002,437.8922279, ,274
183,471,1203091315,SHINDE PLOT ERANDWANA,298,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,ERANDWANA,MHATRE BRIDGE ERANDWANA,30M DP ROAD,NOT DECLARED, , ,30,670.4283061,GAOTHAN ERANDWANE,PRIVATE,TENABLE,RESIDENTIAL ZONE,180,NO,0242,GHOL3606,81,126.3258265,670.4283061, ,447
184,472,1205132911,RAJENDRA NAGAR,405,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-I,RAJENDRA NAGAR,INTERNAL ROAD,NOT DECLARED, , ,105,2120.351631,FP.NO.1004,PRIVATE,TENABLE,RESIDENTIAL ZONE,630,NO,0830,TILK5210,74,224.0814734,2120.351631, ,495
185,473,1205141806,710 GANJ PETH JANAI MALA,430,CA-1,14 BHAVANI PETH,18 KHADAKMAL ALI M PHULE PETH,TPS-III,TIMBER MARKET,15M DP ROAD,NOT DECLARED, , ,50,1411.569782,GAOTHAN,PRIVATE,TENABLE,RESIDENTIAL ZONE GAOTHAN,300,NO,0911,BHAV5908,82,190.7512319,1411.569782, ,354
186,474,1205141702,49A GANESH PETH,413,CA-1,14 BHAVANI PETH,17 RASTA PETH RAVIWAR PETH,GANESH PETH,BURUD AALI CHOWK,INTERNAL PETH ROAD,NOT DECLARED, , ,35,1567.34054,"CTS.NO.748 TO 755, 761",PRIVATE,TENABLE,RESERVARION PG-1  DP ROAD RESIDENTIAL ZONE,210,NO,0908,BHAV4807,77,173.177574,1567.34054, ,223
